Country,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13
Burma,Asia-Pacific,34.70,18.10,30.60,86.60,85.40,78.30,52.80,65.70,69.60,70.80,30.00,20.00,53.60,328.70,6.70,7.20,6244.00,0.80,5.10,4341.00,34.70,4.60,20.00,30.00,6.50,22.10
Burundi,Sub-Saharan Africa,20.60,31.00,26.20,74.00,83.30,23.30,50.30,67.50,62.20,68.20,50.00,30.00,48.90,8.00,0.00,1.10,735.00,1.60,16.60,0.30,56.70,5.90,35.00,35.00,12.30,23.60
Cambodia,Asia-Pacific,37.40,27.60,16.70,89.70,85.90,89.10,29.90,63.00,79.40,65.40,60.00,50.00,57.80,64.30,6.90,7.10,4012.00,0.20,2.90,2784.40,35.10,9.80,20.00,20.00,15.00,21.70
Cameroon,Sub-Saharan Africa,42.50,31.30,25.50,74.40,87.50,58.40,44.40,47.80,84.00,53.40,30.00,50.00,52.40,88.90,3.20,4.90,3660.00,4.20,0.60,672.50,33.80,15.80,35.00,33.00,15.60,20.40
Canada,Americas,87.00,69.40,84.60,76.80,51.30,83.10,81.90,73.70,77.20,86.80,80.00,80.00,77.70,1769.30,3.00,2.10,48265.00,6.30,1.60,24243.80,89.70,1.60,33.00,15.00,31.70,40.30
Cabo Verde,Sub-Saharan Africa,44.10,49.00,43.70,76.40,71.20,59.70,65.20,55.70,84.10,68.20,80.00,60.00,63.10,3.70,4.00,2.00,6944.00,10.30,0.80,108.60,126.00,10.90,35.00,24.00,23.70,31.00
Central African Republic,Sub-Saharan Africa,19.60,29.60,23.20,65.20,94.20,94.30,24.20,40.10,72.30,51.00,45.00,30.00,49.10,3.40,4.00,-4.50,677.00,6.00,3.80,17.20,53.40,14.50,50.00,30.00,9.00,13.90
Chad,Sub-Saharan Africa,26.70,24.60,23.20,46.10,92.40,85.20,28.10,43.20,82.30,47.20,60.00,40.00,49.90,28.60,-3.10,1.00,2344.00,5.90,-0.90,335.00,52.50,16.40,60.00,45.00,5.30,15.90
Chile,Americas,68.70,56.30,62.30,77.30,81.00,89.00,76.60,65.00,84.50,88.80,85.00,70.00,75.40,451.10,1.50,2.20,24537.00,7.00,2.20,6729.60,23.60,0.60,35.00,25.00,20.40,25.20
China,Asia-Pacific,49.90,75.20,49.10,70.40,70.10,76.00,56.20,64.20,71.90,73.00,25.00,20.00,58.40,23159.10,6.90,7.10,16660.00,4.70,1.60,136320.00,47.80,3.50,45.00,25.00,17.50,31.60
